"Sentence","Sentiment"
"The battery life on this phone is absolutely amazing.","Positive"
"I love the long-lasting battery.","Positive"
"Battery drains too quickly when playing games.","Negative"
"The phone dies after just 4 hours of use.","Negative"
"Battery performance is okay but could be better.","Neutral"
"Battery is 4000mAh.","Neutral"
"The camera quality is stunning in daylight.","Positive"
"Takes crystal clear photos and vibrant videos.","Positive"
"Camera performs horribly in low light.","Negative"
"The front camera is blurry and unusable.","Negative"
"It has a triple camera setup.","Neutral"
"The price is very affordable for these features.","Positive"
"Absolute value for money.","Positive"
"Way too expensive for what it offers.","Negative"
"Overpriced and not worth the cost.","Negative"
"The phone costs 500 dollars.","Neutral"
"The performance is lightning fast.","Positive"
"Runs heavy games smoothly without any lag.","Positive"
"The phone lags constantly when multitasking.","Negative"
"Performance is terrible and it freezes every time.","Negative"
"It has 8GB RAM which handles apps fine.","Neutral"
"The battery lasts for two days.","Positive"
"Super fast charging is a game changer.","Positive"
"The charge does not hold at all.","Negative"
"Pictures look amazing with this lens.","Positive"
"The portrait mode does not blur the background well.","Negative"
"Best budget phone out there.","Positive"
"I got a good discount on this.","Positive"
"It is not cheap at all.","Negative"
"The processor is very snappy.","Positive"
"Apps take a long time to load.","Negative"
"The battery takes 2 hours to charge.","Neutral"
"Camera has 64 megapixels.","Neutral"
"Price is unchanged from last year.","Neutral"
"Performance is standard for this processor.","Neutral"
"The camera captures stunning portraits.","Positive"
"This phone is a brilliant deal for the price.","Positive"
"The battery backup is outstanding.","Positive"
"The screen is crisp and bright.","Positive"
"The performance is sluggish under heavy load.","Negative"
"Terrible camera output in night mode.","Negative"
"Not worth the money at all.","Negative"
"The charging speed is disappointingly slow.","Negative"
"Battery capacity is 5000mAh.","Neutral"
"Comes with a 12MP front camera.","Neutral"
"The phone has Snapdragon 888 processor.","Neutral"
"It costs around 20000 rupees.","Neutral"
"Great value for the features offered.","Positive"
"Processor handles multitasking effortlessly.","Positive"
"Camera zoom is terrible and blurry.","Negative"
"Price is too high compared to competitors.","Negative"
"The phone offers excellent performance at this price.","Positive"
"Battery drains within 3 hours of screen-on time.","Negative"
"The camera lacks optical image stabilization.","Negative"
"Surprisingly affordable for premium-level specs.","Positive"
"Performance never stutters even with 20 tabs open.","Positive"
